BRH_region,ISOalpha3code,Country,date,year,debtpctgdp,dsa,sovrate,dsp_pctexp,reserves_mthimp,erdep,inflation,wb_incgroup
South and West Asia,AFG,Afghanistan,01/12/2001,2001,,,,,,-0.09,,Low income
South and West Asia,AFG,Afghanistan,01/01/2002,2002,,,,,,-0.51,,
South and West Asia,AFG,Afghanistan,01/02/2002,2002,,,,,,-0.51,,
South and West Asia,AFG,Afghanistan,01/03/2002,2002,,,,,,-0.51,,
South and West Asia,AFG,Afghanistan,01/04/2002,2002,,,,,,-0.51,,
South and West Asia,AFG,Afghanistan,01/05/2002,2002,,,,,,-0.51,,
South and West Asia,AFG,Afghanistan,01/06/2002,2002,,,,,,-0.51,,
South and West Asia,AFG,Afghanistan,01/07/2002,2002,,,,,,-0.51,,
South and West Asia,AFG,Afghanistan,01/08/2002,2002,,,,,,-0.51,,
South and West Asia,AFG,Afghanistan,01/09/2002,2002,,,,,,-0.50,,
South and West Asia,AFG,Afghanistan,01/10/2002,2002,,,,,,-0.50,,
South and West Asia,AFG,Afghanistan,01/11/2002,2002,,,,,,-0.50,,
South and West Asia,AFG,Afghanistan,01/12/2002,2002,,,,,,-0.42,,Low income
South and West Asia,AFG,Afghanistan,01/01/2003,2003,,,,,,-2.29,,
South and West Asia,AFG,Afghanistan,01/02/2003,2003,,,,,,2.50,,
South and West Asia,AFG,Afghanistan,01/03/2003,2003,,,,,,8.74,,
South and West Asia,AFG,Afghanistan,01/04/2003,2003,,,,,,5.01,,
South and West Asia,AFG,Afghanistan,01/05/2003,2003,,,,,,2.55,,
South and West Asia,AFG,Afghanistan,01/06/2003,2003,,,,,,3.12,,
South and West Asia,AFG,Afghanistan,01/07/2003,2003,,,,,,2.62,,
South and West Asia,AFG,Afghanistan,01/08/2003,2003,,,,,,3.01,,
South and West Asia,AFG,Afghanistan,01/09/2003,2003,,,,,,4.06,,
South and West Asia,AFG,Afghanistan,01/10/2003,2003,,,,,,3.39,,
South and West Asia,AFG,Afghanistan,01/11/2003,2003,,,,,,3.15,,
South and West Asia,AFG,Afghanistan,01/12/2003,2003,270.60,,,,,2.23,,Low income
South and West Asia,AFG,Afghanistan,01/01/2004,2004,,,,,,6.12,,
South and West Asia,AFG,Afghanistan,01/02/2004,2004,,,,,,2.10,,
South and West Asia,AFG,Afghanistan,01/03/2004,2004,,,,,,-2.81,,
South and West Asia,AFG,Afghanistan,01/04/2004,2004,,,,,,1.13,,
South and West Asia,AFG,Afghanistan,01/05/2004,2004,,,,,,3.34,,
South and West Asia,AFG,Afghanistan,01/06/2004,2004,,,,,,-0.18,,
South and West Asia,AFG,Afghanistan,01/07/2004,2004,,,,,,-3.33,,
South and West Asia,AFG,Afghanistan,01/08/2004,2004,,,,,,-6.97,,
South and West Asia,AFG,Afghanistan,01/09/2004,2004,,,,,,-8.10,,
South and West Asia,AFG,Afghanistan,01/10/2004,2004,,,,,,-6.63,,
South and West Asia,AFG,Afghanistan,01/11/2004,2004,,,,,,-5.78,,
South and West Asia,AFG,Afghanistan,01/12/2004,2004,244.97,,,,,-0.94,,Low income
South and West Asia,AFG,Afghanistan,01/01/2005,2005,,,,,,0.61,,
South and West Asia,AFG,Afghanistan,01/02/2005,2005,,,,,,0.52,,
South and West Asia,AFG,Afghanistan,01/03/2005,2005,,,,,,-2.01,14.64,
South and West Asia,AFG,Afghanistan,01/04/2005,2005,,,,,,-1.74,13.02,
South and West Asia,AFG,Afghanistan,01/05/2005,2005,,,,,,-0.28,12.36,
South and West Asia,AFG,Afghanistan,01/06/2005,2005,,,,,,3.00,10.15,
South and West Asia,AFG,Afghanistan,01/07/2005,2005,,,,,,6.27,10.00,
South and West Asia,AFG,Afghanistan,01/08/2005,2005,,,,,,9.42,9.58,
South and West Asia,AFG,Afghanistan,01/09/2005,2005,,,,,,8.77,10.92,
South and West Asia,AFG,Afghanistan,01/10/2005,2005,,,,,,6.94,11.13,
South and West Asia,AFG,Afghanistan,01/11/2005,2005,,,,,,7.07,10.81,
South and West Asia,AFG,Afghanistan,01/12/2005,2005,206.36,,,,,4.62,9.94,Low income
South and West Asia,AFG,Afghanistan,01/01/2006,2006,,,,,,2.37,11.13,
South and West Asia,AFG,Afghanistan,01/02/2006,2006,,,,,,0.11,10.16,
South and West Asia,AFG,Afghanistan,01/03/2006,2006,,,,,,1.99,8.24,
South and West Asia,AFG,Afghanistan,01/04/2006,2006,,,,,,0.99,8.08,
South and West Asia,AFG,Afghanistan,01/05/2006,2006,,,,,,-0.64,6.83,
South and West Asia,AFG,Afghanistan,01/06/2006,2006,,,,,,-0.52,5.58,
South and West Asia,AFG,Afghanistan,01/07/2006,2006,,,,,,0.59,4.98,
South and West Asia,AFG,Afghanistan,01/08/2006,2006,,,,,,0.81,5.67,
South and West Asia,AFG,Afghanistan,01/09/2006,2006,,,,,,2.04,5.33,
South and West Asia,AFG,Afghanistan,01/10/2006,2006,,,,,,1.99,6.24,
South and West Asia,AFG,Afghanistan,01/11/2006,2006,,,,,,1.34,5.46,
South and West Asia,AFG,Afghanistan,01/12/2006,2006,22.98,,,0.75,,-0.53,4.29,Low income
South and West Asia,AFG,Afghanistan,01/01/2007,2007,,,,,,-0.95,3.57,
South and West Asia,AFG,Afghanistan,01/02/2007,2007,,,,,,0.59,3.36,
South and West Asia,AFG,Afghanistan,01/03/2007,2007,,,,,,0.30,4.31,
South and West Asia,AFG,Afghanistan,01/04/2007,2007,,,,,,0.89,4.96,
South and West Asia,AFG,Afghanistan,01/05/2007,2007,,,,,,0.90,6.49,
South and West Asia,AFG,Afghanistan,01/06/2007,2007,,,,,,0.16,8.52,
South and West Asia,AFG,Afghanistan,01/07/2007,2007,,,,,,-0.55,9.85,
South and West Asia,AFG,Afghanistan,01/08/2007,2007,,,,,,-0.15,10.41,
South and West Asia,AFG,Afghanistan,01/09/2007,2007,,,,,,-0.62,12.10,
South and West Asia,AFG,Afghanistan,01/10/2007,2007,,,,,,0.37,10.33,
South and West Asia,AFG,Afghanistan,01/11/2007,2007,,,,,,0.17,13.74,
South and West Asia,AFG,Afghanistan,01/12/2007,2007,20.14,,,0.11,,-0.22,16.09,Low income
South and West Asia,AFG,Afghanistan,01/01/2008,2008,,,,,,-0.86,19.73,
South and West Asia,AFG,Afghanistan,01/02/2008,2008,,,,,,-1.94,18.44,
South and West Asia,AFG,Afghanistan,01/03/2008,2008,,,,,,-1.15,18.63,
South and West Asia,AFG,Afghanistan,01/04/2008,2008,,,,,,-0.55,29.67,
South and West Asia,AFG,Afghanistan,01/05/2008,2008,,,,,,-0.21,37.08,
South and West Asia,AFG,Afghanistan,01/06/2008,2008,,,,,,-0.33,30.64,
South and West Asia,AFG,Afghanistan,01/07/2008,2008,,,,,,0.35,30.95,
South and West Asia,AFG,Afghanistan,01/08/2008,2008,,,,,,0.24,31.99,
South and West Asia,AFG,Afghanistan,01/09/2008,2008,,,,,,1.14,30.66,
South and West Asia,AFG,Afghanistan,01/10/2008,2008,,,,,,1.14,28.01,
South and West Asia,AFG,Afghanistan,01/11/2008,2008,,,,,,4.08,22.56,
South and West Asia,AFG,Afghanistan,01/12/2008,2008,19.06,,,0.40,9.43,5.04,18.81,Low income
South and West Asia,AFG,Afghanistan,01/01/2009,2009,,,,,,5.37,12.89,
South and West Asia,AFG,Afghanistan,01/02/2009,2009,,,,,,6.72,9.07,
South and West Asia,AFG,Afghanistan,01/03/2009,2009,,,,,,4.89,4.57,
South and West Asia,AFG,Afghanistan,01/04/2009,2009,,,,,,2.24,,
South and West Asia,AFG,Afghanistan,01/05/2009,2009,,,,,,0.04,,
South and West Asia,AFG,Afghanistan,01/06/2009,2009,,,,,,0.68,,
South and West Asia,AFG,Afghanistan,01/07/2009,2009,,,,,,0.13,,
South and West Asia,AFG,Afghanistan,01/08/2009,2009,,,,,,-1.31,,
South and West Asia,AFG,Afghanistan,01/09/2009,2009,,,,,,-1.80,,
South and West Asia,AFG,Afghanistan,01/10/2009,2009,,,,,,-2.06,,
South and West Asia,AFG,Afghanistan,01/11/2009,2009,,,,,,-5.62,,
South and West Asia,AFG,Afghanistan,01/12/2009,2009,16.25,,,0.49,12.21,-6.70,,Low income
South and West Asia,AFG,Afghanistan,01/01/2010,2010,,,,,,-7.31,,
South and West Asia,AFG,Afghanistan,01/02/2010,2010,,,,,,-9.45,,
South and West Asia,AFG,Afghanistan,01/03/2010,2010,,,,,,-7.59,,
South and West Asia,AFG,Afghanistan,01/04/2010,2010,,,,,,-5.93,0.17,
South and West Asia,AFG,Afghanistan,01/05/2010,2010,,,,,,-6.58,1.59,
South and West Asia,AFG,Afghanistan,01/06/2010,2010,,,,,,-7.45,2.91,
South and West Asia,AFG,Afghanistan,01/07/2010,2010,,,,,,-9.28,4.25,
South and West Asia,AFG,Afghanistan,01/08/2010,2010,,,,,,-6.81,5.36,
South and West Asia,AFG,Afghanistan,01/09/2010,2010,,,,,,-8.04,5.49,
South and West Asia,AFG,Afghanistan,01/10/2010,2010,,,,,,-8.84,6.48,
South and West Asia,AFG,Afghanistan,01/11/2010,2010,,,,,,-7.80,8.77,
South and West Asia,AFG,Afghanistan,01/12/2010,2010,7.70,,,0.34,10.46,-7.23,10.25,Low income
South and West Asia,AFG,Afghanistan,01/01/2011,2011,,,,,,-6.19,13.56,
South and West Asia,AFG,Afghanistan,01/02/2011,2011,,,,,,-4.54,13.58,
South and West Asia,AFG,Afghanistan,01/03/2011,2011,,,,,,-5.59,13.27,
South and West Asia,AFG,Afghanistan,01/04/2011,2011,,,,,,-4.96,13.74,
South and West Asia,AFG,Afghanistan,01/05/2011,2011,,,,,,-1.87,13.33,
South and West Asia,AFG,Afghanistan,01/06/2011,2011,,,,,,0.17,11.95,
South and West Asia,AFG,Afghanistan,01/07/2011,2011,,,,,,4.68,12.63,
South and West Asia,AFG,Afghanistan,01/08/2011,2011,,,,,,2.71,11.22,
South and West Asia,AFG,Afghanistan,01/09/2011,2011,,,,,,4.48,9.56,
South and West Asia,AFG,Afghanistan,01/10/2011,2011,,,,,,6.53,10.41,
South and West Asia,AFG,Afghanistan,01/11/2011,2011,,,,,,6.21,9.84,
South and West Asia,AFG,Afghanistan,01/12/2011,2011,7.50,,,0.31,10.34,7.48,9.31,Low income
South and West Asia,AFG,Afghanistan,01/01/2012,2012,,,,,,8.75,7.41,
South and West Asia,AFG,Afghanistan,01/02/2012,2012,,,,,,8.97,7.57,
South and West Asia,AFG,Afghanistan,01/03/2012,2012,,,,,,9.06,8.38,
South and West Asia,AFG,Afghanistan,01/04/2012,2012,,,,,,9.12,8.02,
South and West Asia,AFG,Afghanistan,01/05/2012,2012,,,,,,9.17,7.90,
South and West Asia,AFG,Afghanistan,01/06/2012,2012,,,,,,8.63,6.72,
South and West Asia,AFG,Afghanistan,01/07/2012,2012,,,,,,8.39,4.57,
South and West Asia,AFG,Afghanistan,01/08/2012,2012,,,,,,8.94,4.41,
South and West Asia,AFG,Afghanistan,01/09/2012,2012,,,,,,8.68,5.48,
South and West Asia,AFG,Afghanistan,01/10/2012,2012,,,,,,8.84,5.37,
South and West Asia,AFG,Afghanistan,01/11/2012,2012,,,,,,11.48,5.87,
South and West Asia,AFG,Afghanistan,01/12/2012,2012,6.76,,,0.55,8.68,7.15,5.88,Low income
South and West Asia,AFG,Afghanistan,01/01/2013,2013,,,,,,5.15,6.23,
South and West Asia,AFG,Afghanistan,01/02/2013,2013,,,,,,5.37,7.28,
South and West Asia,AFG,Afghanistan,01/03/2013,2013,,,,,,7.90,6.41,
South and West Asia,AFG,Afghanistan,01/04/2013,2013,,,,,,8.67,7.48,
South and West Asia,AFG,Afghanistan,01/05/2013,2013,,,,,,10.35,6.88,
South and West Asia,AFG,Afghanistan,01/06/2013,2013,,,,,,10.01,7.63,
South and West Asia,AFG,Afghanistan,01/07/2013,2013,,,,,,10.05,9.12,
South and West Asia,AFG,Afghanistan,01/08/2013,2013,,,,,,9.41,9.16,
South and West Asia,AFG,Afghanistan,01/09/2013,2013,,,,,,9.83,7.94,
South and West Asia,AFG,Afghanistan,01/10/2013,2013,,,,,,9.69,6.97,
South and West Asia,AFG,Afghanistan,01/11/2013,2013,,,,,,7.55,6.36,
South and West Asia,AFG,Afghanistan,01/12/2013,2013,6.90,,,1.55,8.59,10.80,7.24,Low income
South and West Asia,AFG,Afghanistan,01/01/2014,2014,,,,,,8.88,6.79,
South and West Asia,AFG,Afghanistan,01/02/2014,2014,,,,,,9.79,5.26,
South and West Asia,AFG,Afghanistan,01/03/2014,2014,,,,,,7.67,5.65,
South and West Asia,AFG,Afghanistan,01/04/2014,2014,,,,,,5.69,4.67,
South and West Asia,AFG,Afghanistan,01/05/2014,2014,,,,,,3.77,5.49,
South and West Asia,AFG,Afghanistan,01/06/2014,2014,,,,,,3.95,5.65,
South and West Asia,AFG,Afghanistan,01/07/2014,2014,,,,,,1.37,6.36,
South and West Asia,AFG,Afghanistan,01/08/2014,2014,,,,,,0.55,4.48,
South and West Asia,AFG,Afghanistan,01/09/2014,2014,,,,,,0.79,4.32,
South and West Asia,AFG,Afghanistan,01/10/2014,2014,,,,,,0.14,3.94,
South and West Asia,AFG,Afghanistan,01/11/2014,2014,,,,,,-0.21,2.30,
South and West Asia,AFG,Afghanistan,01/12/2014,2014,8.70,,,1.88,10.70,-0.35,1.49,Low income
South and West Asia,AFG,Afghanistan,01/01/2015,2015,,,,,,2.58,0.99,
South and West Asia,AFG,Afghanistan,01/02/2015,2015,,,,,,0.35,0.29,
South and West Asia,AFG,Afghanistan,01/03/2015,2015,,,,,,0.23,,
South and West Asia,AFG,Afghanistan,01/04/2015,2015,,,,,,1.10,,
South and West Asia,AFG,Afghanistan,01/05/2015,2015,,,,,,2.72,,
South and West Asia,AFG,Afghanistan,01/06/2015,2015,,,,,,4.09,,
South and West Asia,AFG,Afghanistan,01/07/2015,2015,,,,,,5.35,,
South and West Asia,AFG,Afghanistan,01/08/2015,2015,,,,,,9.89,,
South and West Asia,AFG,Afghanistan,01/09/2015,2015,,,,,,11.85,,
South and West Asia,AFG,Afghanistan,01/10/2015,2015,,,,,,12.01,0.03,
South and West Asia,AFG,Afghanistan,01/11/2015,2015,,,,,,14.60,1.24,
South and West Asia,AFG,Afghanistan,01/12/2015,2015,9.15,,,2.81,9.77,16.81,1.13,Low income
South and West Asia,AFG,Afghanistan,01/01/2016,2016,,,,,,18.14,1.30,
South and West Asia,AFG,Afghanistan,01/02/2016,2016,,,,,,20.07,3.08,
South and West Asia,AFG,Afghanistan,01/03/2016,2016,,,,,,19.32,4.00,
South and West Asia,AFG,Afghanistan,01/04/2016,2016,,,,,,18.33,4.49,
South and West Asia,AFG,Afghanistan,01/05/2016,2016,,,,,,16.38,4.34,
South and West Asia,AFG,Afghanistan,01/06/2016,2016,,,,,,15.07,4.89,
South and West Asia,AFG,Afghanistan,01/07/2016,2016,,,,,,13.40,5.94,
South and West Asia,AFG,Afghanistan,01/08/2016,2016,,,,,,9.03,5.43,
South and West Asia,AFG,Afghanistan,01/09/2016,2016,,,,,,4.45,5.05,
South and West Asia,AFG,Afghanistan,01/10/2016,2016,,,,,,2.67,4.95,
South and West Asia,AFG,Afghanistan,01/11/2016,2016,,,,,,0.55,4.60,
South and West Asia,AFG,Afghanistan,01/12/2016,2016,8.44,,,3.74,11.83,-0.64,4.59,Low income
South and West Asia,AFG,Afghanistan,01/01/2017,2017,,,,,,-2.43,3.78,
South and West Asia,AFG,Afghanistan,01/02/2017,2017,,,,,,-2.77,4.07,
South and West Asia,AFG,Afghanistan,01/03/2017,2017,,,,,,-1.15,7.16,
South and West Asia,AFG,Afghanistan,01/04/2017,2017,,,,,,-1.36,6.65,
South and West Asia,AFG,Afghanistan,01/05/2017,2017,,,,,,-0.97,7.45,
South and West Asia,AFG,Afghanistan,01/06/2017,2017,,,,,,-1.33,7.47,
South and West Asia,AFG,Afghanistan,01/07/2017,2017,,,,,,-0.58,5.11,
South and West Asia,AFG,Afghanistan,01/08/2017,2017,,,,,,1.00,4.53,
South and West Asia,AFG,Afghanistan,01/09/2017,2017,,,,,,2.50,3.82,
South and West Asia,AFG,Afghanistan,01/10/2017,2017,,,,,,3.30,3.77,
South and West Asia,AFG,Afghanistan,01/11/2017,2017,,,,,,3.51,3.09,
South and West Asia,AFG,Afghanistan,01/12/2017,2017,8.00,,,3.55,12.13,3.53,3.04,Low income
South and West Asia,AFG,Afghanistan,01/01/2018,2018,,,,,,4.37,4.28,
South and West Asia,AFG,Afghanistan,01/02/2018,2018,,,,,,2.99,3.55,
South and West Asia,AFG,Afghanistan,01/03/2018,2018,,,,,,1.91,0.18,
South and West Asia,AFG,Afghanistan,01/04/2018,2018,,,,,,3.10,,
South and West Asia,AFG,Afghanistan,01/05/2018,2018,,,,,,4.22,,
South and West Asia,AFG,Afghanistan,01/06/2018,2018,,,,,,4.86,,
South and West Asia,AFG,Afghanistan,01/07/2018,2018,,,,,,6.72,,
South and West Asia,AFG,Afghanistan,01/08/2018,2018,,,,,,6.43,0.09,
South and West Asia,AFG,Afghanistan,01/09/2018,2018,,,,,,5.70,0.24,
South and West Asia,AFG,Afghanistan,01/10/2018,2018,,,,,,10.99,0.80,
South and West Asia,AFG,Afghanistan,01/11/2018,2018,,,,,,10.22,1.11,
South and West Asia,AFG,Afghanistan,01/12/2018,2018,7.38,,,2.60,12.18,9.82,0.75,Low income
South and West Asia,AFG,Afghanistan,01/01/2019,2019,,,,,13.75,8.11,0.41,
South and West Asia,AFG,Afghanistan,01/02/2019,2019,,,,,13.75,8.75,0.34,
South and West Asia,AFG,Afghanistan,01/03/2019,2019,,,,,13.75,8.43,1.77,
South and West Asia,AFG,Afghanistan,01/04/2019,2019,,,,,13.75,10.06,3.63,
South and West Asia,AFG,Afghanistan,01/05/2019,2019,,,,,13.75,10.91,4.88,
South and West Asia,AFG,Afghanistan,01/06/2019,2019,,,,,13.75,11.68,4.03,
South and West Asia,AFG,Afghanistan,01/07/2019,2019,,,,,13.75,10.31,2.77,
South and West Asia,AFG,Afghanistan,01/08/2019,2019,,,,,13.75,8.05,2.92,
South and West Asia,AFG,Afghanistan,01/09/2019,2019,,,,,13.75,8.03,1.85,
South and West Asia,AFG,Afghanistan,01/10/2019,2019,,,,,13.75,3.26,1.12,
South and West Asia,AFG,Afghanistan,01/11/2019,2019,,,,,13.75,3.60,1.22,
South and West Asia,AFG,Afghanistan,01/12/2019,2019,6.13,,,2.39,13.75,3.80,2.77,Low income
South and West Asia,AFG,Afghanistan,01/01/2020,2020,,,,,16.63,2.74,3.75,
South and West Asia,AFG,Afghanistan,01/02/2020,2020,,,,,16.63,2.64,3.84,
South and West Asia,AFG,Afghanistan,01/03/2020,2020,,,,,16.63,1.56,3.02,
South and West Asia,AFG,Afghanistan,01/04/2020,2020,,,,,16.63,-0.44,,
South and West Asia,AFG,Afghanistan,01/05/2020,2020,,,,,16.63,-2.78,,
South and West Asia,AFG,Afghanistan,01/06/2020,2020,,,,,16.63,-3.54,,
South and West Asia,AFG,Afghanistan,01/07/2020,2020,,,,,16.63,-4.14,,
South and West Asia,AFG,Afghanistan,01/08/2020,2020,,,,,16.63,-2.31,,
South and West Asia,AFG,Afghanistan,01/09/2020,2020,,,,,16.63,-1.84,,
South and West Asia,AFG,Afghanistan,01/10/2020,2020,,,,,16.63,-1.69,,
South and West Asia,AFG,Afghanistan,01/11/2020,2020,,,,,16.63,-1.73,,
South and West Asia,AFG,Afghanistan,01/12/2020,2020,7.40,,,2.24,16.63,-2.15,,Low income
South and West Asia,AFG,Afghanistan,01/01/2021,2021,,,,,,-0.49,,
South and West Asia,AFG,Afghanistan,01/02/2021,2021,,,,,,0.44,,
South and West Asia,AFG,Afghanistan,01/03/2021,2021,,,,,,1.70,,
South and West Asia,AFG,Afghanistan,01/04/2021,2021,,,,,,1.45,,
South and West Asia,AFG,Afghanistan,01/05/2021,2021,,,,,,1.68,,
South and West Asia,AFG,Afghanistan,01/06/2021,2021,,,,,,,,
South and West Asia,AFG,Afghanistan,01/07/2021,2021,,,,,,,,
South and West Asia,AFG,Afghanistan,01/08/2021,2021,,,,,,,,
South and West Asia,AFG,Afghanistan,01/09/2021,2021,,,,,,,,
South and West Asia,AFG,Afghanistan,01/10/2021,2021,,,,,,,,
South and West Asia,AFG,Afghanistan,01/11/2021,2021,,,,,,,,
South and West Asia,AFG,Afghanistan,01/12/2021,2021,,High,,,,,,Low income
South and West Asia,AFG,Afghanistan,01/01/2022,2022,,,,,,,13.93,
South and West Asia,AFG,Afghanistan,01/02/2022,2022,,,,,,,15.26,
South and West Asia,AFG,Afghanistan,01/03/2022,2022,,,,,,,15.13,
South and West Asia,AFG,Afghanistan,01/04/2022,2022,,,,,,,15.46,
South and West Asia,AFG,Afghanistan,01/05/2022,2022,,,,,,,15.40,
South and West Asia,AFG,Afghanistan,01/06/2022,2022,,,,,,,17.50,
South and West Asia,AFG,Afghanistan,01/07/2022,2022,,,,,,,18.34,
South and West Asia,AFG,Afghanistan,01/08/2022,2022,,,,,,8.44,16.70,
South and West Asia,AFG,Afghanistan,01/09/2022,2022,,,,,,,13.60,
South and West Asia,AFG,Afghanistan,01/10/2022,2022,,,,,,,10.20,
South and West Asia,AFG,Afghanistan,01/11/2022,2022,,,,,,,9.10,
South and West Asia,AFG,Afghanistan,01/12/2022,2022,,,,,,,5.20,Low income
South and West Asia,AFG,Afghanistan,01/01/2023,2023,,,,,,,,
South and West Asia,AFG,Afghanistan,01/02/2023,2023,,,,,,,,
South and West Asia,AFG,Afghanistan,01/03/2023,2023,,,,,,,,
South and West Asia,AFG,Afghanistan,01/04/2023,2023,,,,,,,,
South and West Asia,AFG,Afghanistan,01/05/2023,2023,,,,,,,,
South and West Asia,AFG,Afghanistan,01/06/2023,2023,,,,,,,,
South and West Asia,AFG,Afghanistan,01/07/2023,2023,,,,,,,,
South and West Asia,AFG,Afghanistan,01/08/2023,2023,,,,,,,,
South and West Asia,AFG,Afghanistan,01/09/2023,2023,,,,,,,,
South and West Asia,AFG,Afghanistan,01/10/2023,2023,,,,,,,,
South and West Asia,AFG,Afghanistan,01/11/2023,2023,,,,,,,,
South and West Asia,AFG,Afghanistan,01/12/2023,2023,,,,,,,,Low income
South and West Asia,BGD,Bangladesh,01/01/2000,2000,,,,,,5.15,3.77,
South and West Asia,BGD,Bangladesh,01/02/2000,2000,,,,,,5.15,3.24,
South and West Asia,BGD,Bangladesh,01/03/2000,2000,,,,,,5.15,3.24,
South and West Asia,BGD,Bangladesh,01/04/2000,2000,,,,,,5.15,3.10,
South and West Asia,BGD,Bangladesh,01/05/2000,2000,,,,,,5.15,2.21,
South and West Asia,BGD,Bangladesh,01/06/2000,2000,,,,,,5.15,2.29,
South and West Asia,BGD,Bangladesh,01/07/2000,2000,,,,,,4.22,2.15,
South and West Asia,BGD,Bangladesh,01/08/2000,2000,,,,,,6.46,2.15,
South and West Asia,BGD,Bangladesh,01/09/2000,2000,,,,,,9.09,2.15,
South and West Asia,BGD,Bangladesh,01/10/2000,2000,,,,,,9.09,1.14,
South and West Asia,BGD,Bangladesh,01/11/2000,2000,,,,,,8.89,1.73,
South and West Asia,BGD,Bangladesh,01/12/2000,2000,,,,10.30,1.82,5.88,1.47,Lower middle income
South and West Asia,BGD,Bangladesh,01/01/2001,2001,,,,,,5.88,2.15,
South and West Asia,BGD,Bangladesh,01/02/2001,2001,,,,,,5.88,1.53,
South and West Asia,BGD,Bangladesh,01/03/2001,2001,,,,,,5.88,1.48,
South and West Asia,BGD,Bangladesh,01/04/2001,2001,,,,,,5.88,1.61,
South and West Asia,BGD,Bangladesh,01/05/2001,2001,,,,,,7.22,2.03,
South and West Asia,BGD,Bangladesh,01/06/2001,2001,,,,,,11.76,2.16,
South and West Asia,BGD,Bangladesh,01/07/2001,2001,,,,,,11.76,2.19,
South and West Asia,BGD,Bangladesh,01/08/2001,2001,,,,,,8.16,2.23,
South and West Asia,BGD,Bangladesh,01/09/2001,2001,,,,,,5.56,2.23,
South and West Asia,BGD,Bangladesh,01/10/2001,2001,,,,,,5.56,2.18,
South and West Asia,BGD,Bangladesh,01/11/2001,2001,,,,,,5.56,1.24,
South and West Asia,BGD,Bangladesh,01/12/2001,2001,,,,9.41,1.56,5.56,2.19,Lower middle income
South and West Asia,BGD,Bangladesh,01/01/2002,2002,,,,,,6.96,2.36,
South and West Asia,BGD,Bangladesh,01/02/2002,2002,,,,,,7.22,2.93,
South and West Asia,BGD,Bangladesh,01/03/2002,2002,,,,,,7.22,2.97,
South and West Asia,BGD,Bangladesh,01/04/2002,2002,,,,,,7.22,2.96,
South and West Asia,BGD,Bangladesh,01/05/2002,2002,,,,,,5.89,2.95,
South and West Asia,BGD,Bangladesh,01/06/2002,2002,,,,,,1.58,2.44,
South and West Asia,BGD,Bangladesh,01/07/2002,2002,,,,,,1.58,3.51,
South and West Asia,BGD,Bangladesh,01/08/2002,2002,,,,,,1.58,4.28,
South and West Asia,BGD,Bangladesh,01/09/2002,2002,,,,,,1.58,4.15,
South and West Asia,BGD,Bangladesh,01/10/2002,2002,,,,,,1.58,4.06,
South and West Asia,BGD,Bangladesh,01/11/2002,2002,,,,,,1.58,4.05,
South and West Asia,BGD,Bangladesh,01/12/2002,2002,,,,10.01,2.19,1.58,3.81,Lower middle income
South and West Asia,BGD,Bangladesh,01/01/2003,2003,,,,,,0.25,2.89,
South and West Asia,BGD,Bangladesh,01/02/2003,2003,,,,,,0.00,3.88,
South and West Asia,BGD,Bangladesh,01/03/2003,2003,,,,,,0.00,3.90,
South and West Asia,BGD,Bangladesh,01/04/2003,2003,,,,,,0.00,3.81,
South and West Asia,BGD,Bangladesh,01/05/2003,2003,,,,,,0.00,3.88,
South and West Asia,BGD,Bangladesh,01/06/2003,2003,,,,,,0.00,4.39,
